,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,MA10,MA20,MA50,slopes,slopes20,slopess1p,slopes20s1p,macd_slopes10,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdps1,macdsps1,macd_dn_to_up,macd_up_to_dn,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,vol_gt2,max,min,max_macd_val,max_macd_idx,min_macd_val,min_macd_idx,buy_price,Buy,Buy_zero,tot_buy,Buy_count_tmp,Buy_count,Sell,Sell_zero,tot_sell,Sell_count_tmp,Sell_count
375,2022-09-06 06:16:00,12121.5,12121.5,12121.5,12121.5,133788,-3.746110834672436,-1.6039217486921045,-2.1421890859803314,26.515922437075766,0,1,12127.825,12131.9125,12134.365,-65.24009564394898,-41.4653145642857,-65.48150737914243,-37.86976403013122,-26.526437533819244,-4.2182456996361,-2.5574004087114854,n,n,n,n,-3.4708243585246237,-1.7412086488073055,n,n,n,n,n,y,y,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
376,2022-09-06 06:17:00,12117.75,12117.75,12117.75,12117.75,133883,-4.2182456996361,-1.6608452909246143,-2.5574004087114854,22.385502529520444,0,1,12126.0,12131.0,12134.0,-65.28569909984749,-45.607353004809525,-65.24009564394898,-41.4653145642857,-28.62039812489668,-4.699624916349421,-2.9858453102390725,n,n,n,n,-3.746110834672436,-2.1421890859803314,n,n,n,n,n,y,y,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
377,2022-09-06 06:18:00,12115.75,12115.75,12115.75,12115.75,134050,-4.699624916349421,-1.7137796061103487,-2.9858453102390725,20.54717459029358,0,1,12123.975,12129.9875,12133.595,-64.1625288842657,-49.244658163107,-65.28569909984749,-45.607353004809525,-29.56746437021531,-4.943444816437477,-3.3773652114787533,n,n,n,n,-4.2182456996361,-2.5574004087114854,n,n,n,n,n,y,y,Nan,12115.75,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
378,2022-09-06 06:19:00,12116.75,12116.75,12116.75,12116.75,134101,-4.943444816437477,-1.5660796049587238,-3.3773652114787533,23.911736321143586,0,1,12122.05,12129.025,12133.21,-58.89781098142553,-51.44083930630577,-64.1625288842657,-49.244658163107,-28.604115389306752,-5.038250210336628,-3.7095422112503282,n,n,n,n,-4.699624916349421,-2.9858453102390725,n,n,n,n,n,y,y,Nan,Nan,,,-4.943444816437477,-4.943444816437477,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
379,2022-09-06 06:20:00,12117.25,12117.25,12117.25,12117.25,134238,-5.038250210336628,-1.3287079990862996,-3.7095422112503282,25.608025641758154,0,1,12120.175,12128.0875,12132.835,-44.69454176937552,-52.69802945891126,-58.89781098142553,-51.44083930630577,-25.10516795463047,-4.975339904012799,-3.9627017498028225,n,n,n,n,-4.943444816437477,-3.3773652114787533,n,n,n,n,n,y,y,Nan,Nan,,,-5.038250210336628,-5.038250210336628,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
380,2022-09-06 06:21:00,12118.25,12118.25,12118.25,12118.25,134322,-4.975339904012799,-1.0126381542099763,-3.9627017498028225,29.01645740045061,0,1,12119.375,12127.2,12132.48,-34.58214425073332,-53.02386482395037,-44.69454176937552,-52.69802945891126,-20.76313305970808,-4.590149893030684,-4.088191378448395,n,n,n,n,-5.038250210336628,-3.7095422112503282,n,n,n,n,n,y,y,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
381,2022-09-06 06:22:00,12121.75,12121.75,12121.75,12121.75,134369,-4.590149893030684,-0.5019585145822889,-4.088191378448395,39.46976245144593,0,0,12119.025,12126.4875,12132.195,-9.546766921403844,-51.71948353620959,-34.58214425073332,-53.02386482395037,-14.744440366524667,-4.455426666272615,-4.16163843601324,n,n,n,n,-4.975339904012799,-3.9627017498028225,n,n,n,n,n,y,y,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
382,2022-09-06 06:23:00,12119.0,12119.0,12119.0,12119.0,134438,-4.455426666272615,-0.2937882302593753,-4.16163843601324,35.09646817397664,0,0,12118.925,12125.6375,12131.855,-5.968332197516932,-50.74847035963292,-9.546766921403844,-51.71948353620959,-9.32763619263301,-4.159499047971622,-4.161210558404916,y,y,n,n,-4.590149893030684,-4.088191378448395,n,n,n,n,n,y,y,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
383,2022-09-06 06:24:00,12120.75,12120.75,12120.75,12120.75,134483,-4.159499047971622,0.0017115104332940945,-4.161210558404916,39.67701229571874,0,0,12119.25,12124.875,12131.55,-5.710593137499643,-48.49448511597057,-5.968332197516932,-50.74847035963292,-4.830796593595073,-3.6409289875009563,-4.057154244224124,n,n,y,y,-4.455426666272615,-4.16163843601324,y,n,n,n,y,n,y,Nan,Nan,,,,,12120.75,12120.75,12120.75,24254.0,1,2,,0,0.0,0,0
384,2022-09-06 06:25:00,12123.75,12123.75,12123.75,12123.75,134612,-3.6409289875009563,0.4162252567231679,-4.057154244224124,46.63060019242684,0,0,12119.25,12124.2625,12131.305,24.010799063899608,-44.14196652514076,-5.710593137499643,-48.49448511597057,1.285171660478374,-3.0934347351394536,-3.86441034240719,n,n,n,n,-4.159499047971622,-4.161210558404916,n,n,n,n,y,n,y,Nan,Nan,,,,,NaN,NaN,0,24254.0,0,2,,0,0.0,0,0
