,Datetime,Open,High,Low,Close,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_80,RSI_14_B_20,MA10,MA20,MA50,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdh_s1,macdh_trend_abv_up,macdh_trend_abv_dn,macdh_trend_blw_up,macdh_trend_blw_dn,buy_price,Buy,Buy_zero,Buy_count_tmp,Buy_count,Buy_count_compare,Sell,Sell_zero,Sell_count_tmp,Sell_count,Sell_count_compare
1015,2022-08-18 17:22:00,13483.5,13483.5,13483.5,13483.5,6.634683527538073,-0.16465867656194355,6.799342204100016,63.373421280158325,0,0,13483.9,13477.5,13462.555,6.623058247278095,6.764085412735632,n,n,y,y,0.196146615248308,y,n,n,y,NaN,NaN,0,0,36,,13483.5,13483.5,-1,-35,1.0
1016,2022-08-18 17:23:00,13488.25,13488.25,13488.25,13488.25,6.623058247278095,-0.1410271654575368,6.764085412735632,68.22381114016697,0,0,13485.1,13478.7125,13463.43,6.2792144151953835,6.6671112132275825,n,n,n,n,-0.16465867656194355,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1017,2022-08-18 17:24:00,13485.0,13485.0,13485.0,13485.0,6.2792144151953835,-0.387896798032199,6.6671112132275825,62.158472387378,0,0,13486.15,13479.75,13464.29,5.898377060542771,6.51336438269062,n,n,n,n,-0.1410271654575368,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1018,2022-08-18 17:25:00,13484.5,13484.5,13484.5,13484.5,5.898377060542771,-0.614987322147849,6.51336438269062,61.25619427310348,0,0,13486.525,13480.825,13465.085,5.4330671438146965,6.297304934915435,n,n,n,n,-0.387896798032199,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1019,2022-08-18 17:26:00,13483.25,13483.25,13483.25,13483.25,5.4330671438146965,-0.8642377911007388,6.297304934915435,58.95228472987096,0,0,13486.025,13481.6875,13465.885,5.146193936760028,6.0670827352843535,n,n,n,n,-0.614987322147849,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1020,2022-08-18 17:27:00,13485.0,13485.0,13485.0,13485.0,5.146193936760028,-0.9208887985243255,6.0670827352843535,61.155023492877945,0,0,13485.45,13482.2375,13466.74,4.822903601470898,5.818246908521663,n,n,n,n,-0.8642377911007388,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1021,2022-08-18 17:28:00,13484.5,13484.5,13484.5,13484.5,4.822903601470898,-0.9953433070507645,5.818246908521663,60.161654914534815,0,0,13485.075,13482.65,13467.605,4.71408178776619,5.597413884370568,n,n,n,n,-0.9208887985243255,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1022,2022-08-18 17:29:00,13487.0,13487.0,13487.0,13487.0,4.71408178776619,-0.8833320966043781,5.597413884370568,63.36585093788047,0,0,13485.0,13483.2875,13468.435,4.415556642694355,5.3610424360353255,n,n,n,n,-0.9953433070507645,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1023,2022-08-18 17:30:00,13485.0,13485.0,13485.0,13485.0,4.415556642694355,-0.9454857933409704,5.3610424360353255,59.2595497062867,0,0,13485.025,13483.7,13469.255,4.131349686953399,5.11510388621894,n,n,n,n,-0.8833320966043781,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
1024,2022-08-18 17:31:00,13485.0,13485.0,13485.0,13485.0,4.131349686953399,-0.9837541992655412,5.11510388621894,59.2595497062867,0,0,13485.1,13484.175,13470.08,4.080972730893336,4.908277655153819,n,n,n,n,-0.9454857933409704,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-35,
